Nº DCB ;DENOMINAÇÃO COMUM BRASILEIRA;Nº CAS
07728;rilozarona;79282-39-6
11290;rilpivirina;500287-72-9
07729;riluzol;1744-22-5
07730;rimantadina;13392-28-4
07732;rimexolona;49697-38-3
07733;rimiterol;32953-89-2
07735;rimonabanto;168273-06-1
07736;rimoprogina;37750-83-7
07737;rincazol;75859-04-0
10789;riociguate;625115-55-1
07739;riodipino;71653-63-9
07740;rioprostila;77287-05-9
07741;ripazepam;26308-28-1
07742;risarestate;79714-31-1
00339;risedronato sódico;115436-72-1
07743;rismorrelina;146706-68-5
07744;risocaína;94-12-2
07745;risotilida;120688-08-6
07747;rispenzepina;96449-05-7
07748;risperidona;106266-06-2
07749;ristianol;78092-65-6
07750;ristocetina;1404-55-3
07751;ritanserina;87051-43-2
07752;ritiometana;34914-39-1
07753;ritodrina;26652-09-5
07755;ritolucaste;111974-60-8
07756;ritonavir;155213-67-5
07757;ritrossulfano;4148-16-7
07758;rituximabe;174722-31-7
09637;rivaroxabana;366789-02-8
07759;rivastigmina;123441-03-2
07760;rivoglitazona;185428-18-6
07761;rizatriptana;144034-80-0
07763;rizolipase;9001-62-1
07764;robalzotana;169758-66-1
07765;robenidina;25875-51-8
10511;Robinia pseudoacacia ;[Ref. 8]
07767;rocastina;91833-77-1
07769;rocefapanto;132418-36-1
07770;rociclovir;108436-80-2
07771;rocitamicina;74014-51-0
07772;rociverina;53716-44-2
07773;rocurônio ;143558-00-3
07775;rodocaína;38821-80-6
07776;rodorrubicina;96497-67-5
07777;rofecoxibe;162011-90-7
07778;rofelodina;76696-97-4
07779;rofleponida;144459-70-1
07780;roflumilaste;162401-32-3
07781;roflurano;679-90-3
07782;rogletimida;121840-95-7
07783;rolafagrel;89781-55-5
07784;roletamida;10078-46-3
07785;rolgamidina;66608-04-6
07786;roliciclidina;2201-39-0
07787;roliciprina;2829-19-8
07788;rolipram;61413-54-5
07789;rolitetraciclina;751-97-3
07790;rolodina;1866-43-9
07791;rolziracetam;18356-28-0
07792;romazarite;109543-76-2
07793;romifenona;38373-83-0
07794;romifidina;65896-16-4
09811;romiplostim;267639-76-9
07795;romurtida;78113-36-7
07796;ronactolol;90895-85-5
07797;ronidazol;7681-76-7
07798;ronifibrato;42597-57-9
07799;ronipamil;85247-77-4
07800;ropinirol;91374-21-9
07802;ropitoína;56079-81-3
07804;ropivacaína;84057-95-4
07806;ropizina;3601-19-2
07807;roquinimex;84088-42-6
10750;Rorippa nasturtium-aquaticum (L.) Hayek ;[Ref. 6]
10074;rosa bengala dissódica (125 I);[Ref. 8]
07808;rosa bengala sódica (131 I);15251-14-6
07809;rosaprostol;56695-65-9
07810;rosaramicina;35834-26-5
07812;rosiglitazona;122320-73-4
10512;Rosmarinus officinalis ;[Ref. 8]
09924;Rosmarinus officinalis L.;[Ref. 6]
07814;rosoxacino;40034-42-2
07815;rostaporfina;284041-10-7
07816;rosterolona;79243-67-7
07817;rosuvastatina;287714-41-4
07818;rosuvastatina cálcica;147098-20-2
07819;rotamicilina;55530-41-1
07820;rotigotina;99755-59-6
07821;rotoxamina;5560-77-0
07822;rotraxato;92071-51-7
07823;rovelizumabe;197099-66-4
07824;roxadimato;58882-17-0
07825;roxarsona;121-19-7
07826;roxatidina;78273-80-0
07828;roxibolona;60023-92-9
07829;roxifibana;170902-47-3
07830;roxindol;112192-04-8
07831;roxitromicina;80214-83-1
07832;roxoperona;2804-00-4
10513;Rubia tinctorum ;[Ref. 8]
07833;rubitecana;91421-42-0
07834;ruboxistaurina;169939-94-0
10693;rufinamida;106308-44-5
07835;rufloxacino;101363-10-4
07836;rufocromomicina;3930-19-6
10514;Rumex crispus ;[Ref. 8]
07837;rupatadina;158876-82-5
07839;ruplizumabe;220651-94-5
11235;Ruscus aculeatus L.;[Ref. 6]
10515;Ruta graveolens  ;[Ref. 8]
11236;Ruta graveolens L.;[Ref. 6]
07840;rutamicina;1404-59-7
07841;rutosídeo;153-18-4
07842;ruvazona;20228-27-7
10674;ruxolitinibe;941678-49-5
07843;ruzadolano;115762-17-9
10516;Sabadilla ;[Ref. 8]
10517;Sabal serrulata ;[Ref. 8]
07844;sabcomelina;159912-53-5
07845;sabeluzol;104153-38-0
10518;Sabina     ;[Ref. 8]
07846;sabiporida;324758-66-9
07847;sacarato de cálcio;5793-88-4
09524;sacarato de hidróxido férrico;75050-77-0
07848;sacarato de óxido férrico;8047-67-4
07850;sacarina;81-07-2
07852;sacarina cálcica;6485-34-3
09837;sacarina cálcica hidratada;6381-91-5
07851;sacarina sódica;128-44-9
07853;sacarina sódica di-hidratada;6155-57-3
07854;sacarose;57-50-1
10519;Saccharium officinale ;[Ref. 8]
11227;sacubitril;149709-62-2
11228;sacubitril valsartana sódica hidratada;936623-90-4
07855;safinamida;133865-89-1
07856;safingol;15639-50-6
07857;safrol;94-59-7
07858;sagandipino;126294-30-2
07859;salacetamida;487-48-9
07860;salafibrato;64496-66-8
07861;salantel;36093-47-7
07862;salazodina;22933-72-8
07863;salazossulfadimidina;2315-08-4
07864;salazossulfamida;139-56-0
07865;salazossulfatiazol;515-58-2
07866;salbutamol;18559-94-9
07868;salcolex;28038-04-2
07869;saletamida;46803-81-0
07870;salfluverina;587-49-5
07871;salicilamida;65-45-2
00341;salicilato básico de alumínio;[Ref. 3]
08399;salicilato cálcico de teofilina;37287-41-5
01027;salicilato de bamipina;[Ref. 4]
00342;salicilato de bismuto monobásico;14882-18-9
01721;salicilato de carbazocromo;13051-01-9
02561;salicilato de codeína;6020-73-1
02587;salicilato de colina;2016-36-6
09477;salicilato de dietilamônio;4419-92-5
07872;salicilato de etilenoglicol;87-28-5
00343;salicilato de fenila;118-55-8
04059;salicilato de fisostigmina;57-64-7
07873;salicilato de imidazol;36364-49-5
05602;salicilato de meglumina;23277-50-1
09544;salicilato de mentila;89-46-3
00344;salicilato de metila;119-36-8
07626;salicilato de ramifenazona;[Ref. 4]
00345;salicilato de sódio;54-21-7
08963;salicilato de trolamina;2174-16-5
07874;salinazida;495-84-1
07875;salinomicina;53003-10-4
10520;Salix alba ;[Ref. 8]
09925;Salix alba L.;[Ref. 6]
10836;Salix daphnoides Vill.;[Ref. 6]
10837;Salix fragilis L. ;[Ref. 6]
10521;Salix nigra ;[Ref. 8]
10838;Salix purpurea L.;[Ref. 6]
07876;salmefamol;18910-65-1
07877;salmeterol;89365-50-4
07879;salmisteína;89767-59-9
07880;salnacedina;87573-01-1
07881;salprotosídeo;33779-37-2
07882;salsalato;552-94-3
07883;salverina;6376-26-7
10885;Salvia officinalis L;[Ref. 6]
10522;Sambucus nigra ;[Ref. 8]
10751;Sambucus nigra L.;[Ref. 6]
07885;samixogrel;133276-80-9
07886;sampirtina;115911-28-9
07887;sanciclina;808-26-4
07888;sanfetriném;156769-21-0
10523;Sanguinaria canadensis ;[Ref. 8]
10524;Sanguinarinum nitricum ;[Ref. 8]
10525;Sanicula aqua ;[Ref. 8]
07889;saperconazol;110588-57-3
07890;saprisartana;146623-69-0
07891;sapropterina;62989-33-7
07892;saquinavir;127779-20-8
07894;saracalim;148430-28-8
07895;sarafloxacino;98105-99-8
07897;saralasina;34273-10-4
07900;sardomozida;149400-88-4
11192;saredutanto;142001-63-6
07901;sargramostim;123774-72-1
07902;sarizotana;177975-08-5
07903;sarmazenil;78771-13-8
07904;sarmoxicilina;67337-44-4
07905;sarpicilina;40966-79-8
07906;sarpogrelato;125926-17-2
10526;Sarsaparilla ;[Ref. 8]
07907;saruplase;99149-95-8
07908;saterinona;102669-89-6
07909;satranidazol;56302-13-7
07910;satraplatina;129580-63-8
07911;satumomabe;144058-40-2
09801;satumomabe pendetida (111 In);138955-27-8
07912;saviprazol;121617-11-6
07913;savoxepina;79262-46-7
09645;saxagliptina;361442-04-8
09646;saxagliptina monoidratada;945667-22-1
10752;Schinus terebinthifolia Raddi;[Ref. 6]
10527;Scilla marítima  ;[Ref. 8]
10528;Scrophularia nodosa ;[Ref. 8]
10529;Scutellaria lateriflora ;[Ref. 8]
07914;sebriplatina;110172-45-7
07915;secalciferol;55721-11-4
10530;Secale cornutum  ;[Ref. 8]
07916;secbutabarbital;125-40-6
07917;seclazona;29050-11-1
07918;secnidazol;3366-95-8
07919;secobarbital;76-73-3
07920;secobarbital sódico;309-43-3
07921;secoverina;57558-44-8
07922;secretina;1393-25-5
11125;secuquinumabe;1229022-83-6
07923;securinina;5610-40-2
07924;sedecamicina;23477-98-7
10753;Sedum rosea (L.) Scop.;[Ref. 6]
07925;seganserina;87729-89-3
07926;seglitida;81377-02-8
07928;selamectina;165108-07-6
07929;selegilina;14611-51-9
09478;selenato de sódio;13410-01-0
09525;selenito de sódio;10102-18-8
09671;selenito dissódico pentaidratado ;26970-82-1 
10531;Selenium ;[Ref. 8]
07931;selenometionina;1464-42-2
09752;selenometionina (75 Se);1187-56-0
11229;selexipague;475086-01-2
07932;selfotel;110347-85-8
07933;selprazina;103997-59-7
07934;sematilida;101526-83-4
07936;semaxanibe;194413-58-6
07937;semotiadil;116476-13-2
07938;semparatida;154906-40-8
10532;Sempervivum tectorum ;[Ref. 8]
10930;semuloparina;[Ref. 2]
10625;semuloparina sódica;9041-08-1
07939;semustina;13909-09-6
07940;senazodana;98326-32-0
07941;senduramicina;113378-31-7
10533;Senecio aureus ;[Ref. 8]
10534;Senega officinalis ;[Ref. 8]
10535;Senna      ;[Ref. 8]
09926;Senna alexandrina Mill. ;[Ref. 6]
09686;senosídeo A;81-27-6
09687;senosídeo B;128-57-4
07942;seocalcitol;134404-52-7
10536;Sepia succus;[Ref. 8]
07943;seprilose;133692-55-4
07944;seproxetina;126924-38-7
07945;sequifenadina;57734-69-7
07946;seractida;12279-41-3
07948;seratrodaste;112665-43-7
07949;serazapina;115313-22-9
10814;serelaxina;99489-94-8
10754;Serenoa repens (W. Bartram) Small;[Ref. 6]
07951;serfibrato;54657-98-6
07952;sergolexol;108674-86-8
07954;serina;56-45-1
07956;sermetacina;57645-05-3
07957;sermorrelina;86168-78-7
07959;serrapeptase;37312-62-2
07960;sertaconazol;99592-32-2
07962;sertindol;106516-24-9
07963;sertralina;79617-96-2
07965;sesquioleato de sorbitana;8007-43-0
07966;sesquióxido de molibdênio;1313-29-7
08338;sestamibi (99m Tc);109581-73-9
07967;setastina;64294-95-7
07968;setazindol;56481-43-7
07969;setipafanto;132418-35-0
07970;setiptilina;57262-94-9
07971;setoperona;86487-64-1
07972;sevelâmer;52757-95-6
07974;sevirumabe;138660-96.5
07975;sevoflurano;28523-86-6
07976;sevopramida;57227-17-5
10931;sevuparina sódica;[Ref. 1]
07977;sezolamida;123308-22-5
07979;siagosídeo;100345-64-0
07980;sibenadete;154189-40-9
07981;sibopirdina;122955-18-4
08339;siboroxima (99m Tc);106417-28-1
07982;sibrafibana;172927-65-0
07983;sibrotuzumabe;216669-97-5
07984;sibutramina;106650-56-0
07986;sicanina;22733-60-4
07987;sifaprazina;131635-06-8
07988;siguazodana;99591-83-0
07989;silandrona;5055-42-5
07990;sildenafila;139755-83-2
07992;silibinina;22888-70-6
07993;silicato de alumínio e magnésio;12511-31-8
07994;silicato de alumínio e sódio;73987-94-7
07995;silicato de cálcio;1344-95-2
07996;silicato de magnésio;13376-74-4
10537;Silicea ;[Ref. 8]
07997;silicona;7440-21-3
07998;silicristina;33889-69-9
07999;silidianina;29782-68-1
08000;silimarina;65666-07-1
08001;silodosina;160970-54-7
08002;silperisona;140944-31-6
08003;siltenzepina;98374-54-0
08004;silteplase;131081-40-8
11008;siltuximabe;541502-14-1 
10755;Silybum marianum (L.) Gaertn. ;[Ref. 6]
08005;simaldrato;12408-47-8
10858;Simarouba amara Aubl.;[Ref. 6]
10815;simeprevir;923604-59-5
11272;simeprevir sódico;1241946-89-3
08006;simeticona;8050-81-5
08007;simetina;15599-45-8
08009;simetrida;154-82-5
10538;Sinapis alba;[Ref. 8]
10539;Sinapis nigra ;[Ref. 8]
08010;sinapultida;138531-07-4
08011;sincalida;25126-32-3
08012;sincloseno;87-90-1
08013;sinefungina;58944-73-3
08014;sinfibrato;14929-11-4
08015;sintrazeno;5579-27-1
08016;sinvastatina;79902-63-9
08017;siramesina;147817-50-3
08018;sirolimo;53123-88-9
08019;sirosingopina;84-36-6
08020;sisomicina;32385-11-8
08022;sitafloxacino;127254-12-0
08023;sitalidona;108894-39-9
08024;sitamaquina;57695-04-2
08025;sitaxentana;184036-34-8
08026;sitoglusida;474-58-8
08027;sivelestate;127373-66-4
08028;sizofirana;9050-67-3
08029;soblidotina;149606-27-9
08030;sobrerol;498-71-5
08031;sobuzoxano;98631-95-9
08032;sofalcona;64506-49-6
10988;sofosbuvir; 1190307-88-0
10540;Solanum nigrum;[Ref. 8]
11299;Solanum paniculatum L.;[Ref. 6]
08033;solassulfona;133-65-3
10541;Solidago virgaurea ;[Ref. 8]
08034;solifenacina;242478-37-1
08035;solimastate;226072-63-5
08036;solipertina;4448-96-8
08038;solpecainol;68567-30-6
08039;somagrebove;96353-48-9
08040;somalapor;106282-98-8
08041;somantadina;79594-24-4
08043;somatorrelina;83930-13-6
08044;somatostatina;38916-34-6
08046;somatrém;82030-87-3
08047;somatropina;12629-01-5
08048;somavubove;126752-39-4
08049;somenopor;119693-74-2
08050;sometribove;102744-97-8
08051;sometripor;102733-72-2
08052;somidobove;89383-13-1
08053;soneclosana;3380-30-1
08054;sonepiprazol;170858-33-0
08055;sonfasepor;129566-95-6
08056;sopitazina;23492-69-5
08057;sopromidina;79313-75-0
08058;soquinolol;61563-18-6
09808;sorbato de potássio;24634-61-5
08059;sorbinicato;6184-06-1
08060;sorbinila;68367-52-2
08061;sorbitol;50-70-4
08062;sorivudina;77181-69-2
08063;sornidipino;95105-77-4
09972;soro antiaracnídico (Loxosceles, Phoneutria e Tityus);[Ref. 8]
04863;soro antiaracnídico (Phoneutria);[Ref. 8]
09973;soro antibotrópico (pentavalente) ;[Ref. 8]
09974;soro antibotrópico (pentavalente) e anticrotálico ;[Ref. 8]
09975;soro antibotrópico (pentavalente) e antilaquético ;[Ref. 8]
09976;soro antibotrópico (pentavalente), anticrotálico e antilaquético ;[Ref. 8]
09977;soro antibotulínico (trivalente) ;[Ref. 8]
09978;soro anticrotálico ;[Ref. 8]
09979;soro antidiftérico ;[Ref. 8]
04862;soro antielapídico;[Ref. 8]
09980;soro antielapídico (bivalente) ;[Ref. 8]
09981;soro antiescorpiônico;[Ref. 8]
10790;soro antilatrodéctico (Latroctus curacaviensis);[Ref. 8]
09982;soro antilonômico ;[Ref. 8]
09983;soro antiloxoscélico (trivalente) ;[Ref. 8]
09984;soro antirrábico ;[Ref. 8]
09985;soro antitetânico ;[Ref. 8]
09986;soro antitimócito (coelho) ;[Ref. 8]
09987;soro antitimócito (equino) ;[Ref. 8]
10906;soro reagente de tipagem sanguínea anti-A para uso humano;[Ref. 8]
10907;soro reagente de tipagem sanguínea anti-A,B para uso humano;[Ref. 8]
10908;soro reagente de tipagem sanguínea anti-B para uso humano;[Ref. 8]
10909;soro reagente de tipagem sanguínea anti-Rh (anti-D, anti-C, anti-E, anti-c, anti-e e anti-Cw) para uso humano;[Ref. 8]
08064;sotalol;3930-20-9
08066;soterenol;13642-52-9
10542;Spigelia anthelmia  ;[Ref. 8]
10543;Spiritus glandium quercus;[Ref. 8]
10544;Spongia tosta ;[Ref. 8]
10545;Stannum iodatum ;[Ref. 8]
10546;Stannum metallicum ;[Ref. 8]
10547;Staphysagria  ;[Ref. 8]
10548;Stellaria media ;[Ref. 8]
10549;Sterculia acuminata ;[Ref. 8]
10550;Sticta pulmonaria ;[Ref. 8]
10551;Stigmata maydis ;[Ref. 8]
10552;Stramonium  ;[Ref. 8]
10553;Strontium carbonicum ;[Ref. 8]
10554;Strophanthus hispidus  ;[Ref. 8]
10555;Strychininum sulfuricum ;[Ref. 8]
10556;Strychnos ignatii;[Ref. 8]
11275;Strychnos nux-vomica L.;[Ref. 6]
09927;Stryphnodendron adstringens (Mart.) Coville;[Ref. 6]
10839;Styrax benzoin Dryand.;[Ref. 6]
08067;subacetato de alumínio;8000-61-1
08069;subatizona;121-55-1
09526;subcitrato de bismuto coloidal;57644-54-9
08070;subendazol;54340-66-8
08068;subgalato de bismuto;99-26-3
09527;subnitrato de bismuto;1304-85-4
08071;succímer;304-55-2
10075;succímer (99m Tc);[Ref. 8]
09608;succinato de desvenlafaxina monoidratado;386750-22-7
03226;succinato de doxilamina;562-10-7
08072;succinato de estriol;514-68-1
08073;succinato de ferro;10030-90-7
05229;succinato de levanfetamina;5634-40-2
10610;succinato de levometoprolol;81024-42-2
05448;succinato de loxapina;27833-64-3
05876;succinato de metoprolol;98418-47-4
08074;succinato de sódio;150-90-3
09528;succinato de solifenacina;242478-38-2
08224;succinato de sumatriptana;103628-48-4
02343;succinato sódico de cloranfenicol;982-57-0
04671;succinato sódico de hidrocortisona;125-04-2
04693;succinato sódico de hidroxidiona;53-10-1
05816;succinato sódico de metilprednisolona;2375-03-3
07339;succinato sódico de prednisolona;1715-33-9
09520;succinilgelatina;68915-24-2
06498;succinilnorfloxacino;100587-52-8
08075;succinilsulfatiazol;116-43-8
08076;succissulfona;5934-14-5
08077;suclofenida;30279-49-3
08078;sucralfato;54182-58-0
09562;sucralose;56038-13-2
08079;sucralox;12040-73-2
08080;sucrosofato;57680-56-5
08081;sudexanox;58761-87-8
08082;sudismase;110294-55-8
08083;sudoxicam;34042-85-8
08084;sufentanila;56030-54-7
08086;sufosfamida;37753-10-9
08087;sufotidina;80343-63-1
09647;sugamadex sódico;343306-79-6
08088;sulanserode;219757-90-1
08089;sulazepam;2898-13-7
08090;sulazurila;108258-89-5
08091;sulbactam;68373-14-8
10694;sulbactam pivoxila;69388-79-0
08092;sulbactam sódico;69388-84-7
08093;sulbenicilina;41744-40-5
08094;sulbenicilina dissódica;28002-18-8
08095;sulbenox;58095-31-1
08096;sulbentina;350-12-9
08097;sulbutiamina;3286-46-2
08098;sulclamida;2455-92-7
08099;sulconazol;61318-90-9
08101;suleparoide sódico;57459-72-0
05817;suleptanato de metilprednisolona;90350-40-6
08102;sulesomabe;167747-19-5
09802;sulesomabe (99m Tc);157856-25-2
08104;sulfabenzamida;127-71-9
08103;sulfabenzo;127-77-5
08105;sulfacarbamida;547-44-4
08106;sulfacecol;21662-79-3
08107;sulfacetamida;144-80-9
08108;sulfacetamida sódica;127-56-0
11269;sulfacetamida sódica monoidratada ;6209-17-2
08109;sulfacitina;17784-12-2
08110;sulfaclomida;4015-18-3
08111;sulfaclorpiridazina;80-32-0
08112;sulfaclorpiridazina sódica;23282-55-5
08113;sulfaclozina;102-65-8
08114;sulfacrisoidina;485-41-6
08115;sulfadiassulfona sódica;128-12-1
08116;sulfadiazina;68-35-9
08118;sulfadiazina de prata;22199-08-2
08117;sulfadiazina sódica;547-32-0
08119;sulfadicramida;115-68-4
08120;sulfadimetoxina;122-11-2
08121;sulfadimidina;57-68-1
08122;sulfadoxina;2447-57-6
08123;sulfaetidol;94-19-9
08124;sulfafenazol;526-08-9
08125;sulfafurazol;127-69-5
08126;sulfaguanidina;57-67-0
08127;sulfaguanol;27031-08-9
08128;sulfaleno;152-47-6
08129;sulfamazona;65761-24-2
08130;sulfamerazina;127-79-7
08131;sulfamerazina sódica;127-58-2
08132;sulfametizol;144-82-1
08133;sulfametomidina;3772-76-7
08134;sulfametoxazol;723-46-6
08135;sulfametoxidiazina;651-06-9
08136;sulfametoxipiridazina;80-35-3
08137;sulfametoxipiridazina sódica;2577-32-4
08138;sulfametrol;32909-92-5
08139;sulfamonometoxina;1220-83-3
08140;sulfamoxol;729-99-7
08141;sulfanilamida;63-74-1
08142;sulfanitrana;122-16-7
08143;sulfaperina;599-88-2
08144;sulfapirazol;852-19-7
08145;sulfapiridina;144-83-2
08146;sulfaproxilina;116-42-7
08147;sulfaquinoxalina;59-40-5
08148;sulfarsfenamina;618-82-6
08149;sulfasimazina;1984-94-7
08150;sulfasomizol;632-00-8
08151;sulfassalazina;599-79-1
08152;sulfassuccinamida;3563-14-2
08153;sulfatiazol;72-14-0
08154;sulfatiazol sódico;144-74-1
08155;sulfatioureia;515-49-1
03081;sulfato ácido de dimevamida;[Ref. 8]
03899;sulfato ácido de fenelzina;156-51-4
08156;sulfato amoniacal de alumínio;7784-26-1
09530;sulfato crômico;10101-53-8
09546;sulfato cromoso;13825-86-0
08158;sulfato cúprico;7758-98-7
09838;sulfato cúprico monoidratado;10257-54-2
09529;sulfato cúprico pentaidratado;7758-99-8
00002;sulfato de abacavir;188062-50-2
08159;sulfato de almadrato;60239-66-9
08160;sulfato de alumínio;10043-01-3
08161;sulfato de alumínio e potássio;10043-67-1
09839;sulfato de alumínio e potássio dodecaidratado;7784-24-9
00649;sulfato de amicacina;39831-55-5
09840;sulfato de amônio;7783-20-2
00780;sulfato de anfetamina;60-13-9
00855;sulfato de arbecacina;[Ref. 4]
00906;sulfato de astromicina;72275-67-3
08157;sulfato de atazanavir;229975-97-7
00935;sulfato de atropina;55-48-1
01022;sulfato de bametana;5716-20-1
08162;sulfato de bário;7727-43-7
01050;sulfato de becanamicina;29701-07-3
08163;sulfato de berberina;633-66-9
01225;sulfato de betanidina;114-85-2
01318;sulfato de bleomicina;9041-93-4
01606;sulfato de butirosina;57549-48-1
08164;sulfato de cálcio;7778-18-9
08165;sulfato de cálcio di-hidratado ;10101-41-4
01671;sulfato de canamicina;25389-94-0
01690;sulfato de capreomicina;1405-37-4
01887;sulfato de cefpiroma;98753-19-6
10626;sulfato de cefquinoma;118443-89-3
02490;sulfato de cloroquina;132-73-0
02562;sulfato de codeína;1420-53-7
02593;sulfato de colistina;1264-72-8
02597;sulfato de condroitina;9007-28-7
02712;sulfato de debrisoquina;581-88-4
02830;sulfato de dexanfetamina;51-63-8
02898;sulfato de diampromida;[Ref. 3]
03012;sulfato de di-hidralazina;7327-87-9
03027;sulfato de di-hidroestreptomicina;5490-27-7
03311;sulfato de efedrina;134-72-5
03536;sulfato de esparteína;299-39-8
03540;sulfato de espectinomicina;64058-48-6
03621;sulfato de estreptomicina;3810-74-0
03631;sulfato de estrona;481-97-0
03966;sulfato de fenoctimina;69365-66-8
04074;sulfato de flestolol;88844-73-9
04248;sulfato de foledrina;6114-26-7
04316;sulfato de framicetina;4146-30-9
04423;sulfato de gentamicina;1405-41-0
09391;sulfato de glicosamina;29031-19-4
04554;sulfato de guanaclina;23389-32-4
04556;sulfato de guanadrel;22195-34-2
04560;sulfato de guanetidina;645-43-2
04565;sulfato de guanoclor;551-48-4
04571;sulfato de guanoxano;5714-04-5
04641;sulfato de hexoprenalina;32266-10-7
04682;sulfato de hidromorfona;[Ref. 2]
04691;sulfato de hidroxicloroquina;747-36-4
04713;sulfato de hidroxiquinolina;134-31-6
04722;sulfato de hidroxocobalamina;[Ref. 4]
04728;sulfato de hiosciamina;620-61-1
04729;sulfato de hiosciamina di-hidratado;6835-16-1
04883;sulfato de indinavir;157810-81-6
09753;sulfato de iobenguano (123 I);139755-80-9
09754;sulfato de iobenguano (131 I);149210-33-3
05098;sulfato de isoprenalina;299-95-6
08166;sulfato de lítio;10377-48-7
05365;sulfato de lixazinona;101626-67-9
05369;sulfato de lobelina;134-64-5
08167;sulfato de magnésio;7487-88-9
11230;sulfato de magnésio di-hidratado;17830-05-6 
08168;sulfato de magnésio heptaidratado;10034-99-8
10894;sulfato de magnésio monoidratado;14168-73-1
08169;sulfato de manganês;7785-87-7
09531;sulfato de manganês monoidratado;[Ref. 3]
05573;sulfato de mefentermina;1212-72-2
09761;sulfato de minoxidil;83701-22-8
06114;sulfato de morfina;64-31-3
09532;sulfato de morfina pentaidratado;6211-15-0
06284;sulfato de neomicina;1405-10-3
06305;sulfato de netilmicina;56391-57-2
09479;sulfato de níquel;7786-81-4
06482;sulfato de norcodeína;[Ref. 3]
06626;sulfato de orciprenalina;5874-97-5
06857;sulfato de paromomicina;1263-89-4
06962;sulfato de peplomicina;70384-29-1
08170;sulfato de polidexida;56227-39-5
07269;sulfato de polimixina B;1405-20-5
08171;sulfato de potássio;7778-80-5
07300;sulfato de pramiracetam;72869-16-0
11193;sulfato de prasterona;651-48-9
07386;sulfato de procainamida;63887-34-3
08172;sulfato de protamina;9009-65-8
07522;sulfato de pseudoefedrina;7460-12-0
07577;sulfato de quinidina;50-54-4
11194;sulfato de quinidina di-hidratado;6591-63-5
07583;sulfato de quinina;804-63-7
11195;sulfato de quinina di-hidratado;6119-70-6
07706;sulfato de ribostamicina;53797-35-6
07867;sulfato de salbutamol;51022-70-9
08021;sulfato de sisomicina;53179-09-2
08173;sulfato de sódio;7757-82-6
09755;sulfato de sódio (35 S);14262-80-7
09841;sulfato de sódio decaidratado;7727-73-3
08415;sulfato de terbutalina;23031-32-5
08710;sulfato de tobramicina;79645-27-5
08814;sulfato de tranilcipromina;13492-01-8
08922;sulfato de trimetoprima;56585-33-2
08986;sulfato de trospectomicina;88851-61-0
08994;sulfato de tuaminoeptano;6411-75-2
09137;sulfato de vimblastina;143-67-9
09150;sulfato de vincristina;2068-78-2
09153;sulfato de vindesina;59917-39-4
09155;sulfato de vinepidina;83200-11-7
09170;sulfato de vinzolidina;67699-41-6
10989;sulfato de vorapaxar;705260-08-8
08174;sulfato de zinco;7733-02-0
09533;sulfato de zinco heptaidratado;7446-20-0
08175;sulfato de zinco monoidratado;7446-19-7
10816;sulfato dissódico de condroitina;9082-07-9
09762;sulfato dissódico de condroitina A;39455-18-0
08176;sulfato ferroso;7720-78-7
09803;sulfato ferroso (59 Fe);24381-62-2
08177;sulfato ferroso heptaidratado;7782-63-0
09842;sulfato neutro de berberina;316-41-6
02826;sulfato sódico de dexametasona;466-11-5
03609;sulfato sódico de estradiol;56050-04-5
05630;sulfato sódico de menadiol;1612-30-2
06221;sulfato sódico de nandrolona;60672-82-4
07311;sulfato sódico de prasterona;1099-87-2
08178;sulfatolamida;1161-88-2
08179;sulfatroxazol;23256-23-7
08180;sulfatrozol;13369-07-8
08181;sulfeto de potássio;1312-73-8
08182;sulfeto de selênio;7488-56-4
09843;sulfeto de sódio;1313-82-2
08183;sulfimpirazona;57-96-5
08184;sulfinalol;66264-77-5
08185;sulfiram;95-05-6
08186;sulfisomidina;515-64-0
08187;sulfito de sódio ;7757-83-7
08188;sulfoguaiacol;1321-14-8
08189;sulfomixina;1405-52-3
01722;sulfonato sódico de carbazocromo;51460-26-5
08190;sulfonterol;42461-79-0
08191;sulforidazina;14759-06-9
05535;sulfossalicilato de meclociclina;73816-42-9
08192;sulfoxilato de fenarsona;535-51-3
08193;sulglicotida;54182-59-1
08194;sulindaco;38194-50-2
08195;sulisatina;54935-03-4
08196;sulisobenzona;4065-45-6
08197;sulmarina;29334-07-4
08198;sulmazol;73384-60-8
08199;sulmeprida;57479-88-6
08200;sulnidazol;51022-76-5
08201;sulocarbilato;121-64-2
08202;suloctidil;54063-56-8
08203;sulodexida;57821-29-1
08204;sulofenur;110311-27-8
08205;sulopeném;120788-07-0
08206;sulosemida;82666-62-4
08207;sulotrobana;72131-33-0
08208;suloxifeno;25827-12-7
10557;Sulphur;[Ref. 8]
10558;Sulphur iodatum ;[Ref. 8]
08210;sulpirida;15676-16-1
08211;sulprosal;58703-77-8
08212;sulprostona;60325-46-4
08213;sultamicilina;76497-13-7
08215;sultiamo;61-56-3
08216;sultoprida;53583-79-2
08217;sultropônio;15130-91-3
08218;sulucaste;98116-53-1
08219;sulveraprida;73747-20-3
08220;sumacetamol;69217-67-0
08221;sumanirol;179386-43-7
08222;sumaroteno;105687-93-2
08223;sumatriptana;103628-46-2
10559;Sumbul ;[Ref. 8]
08225;sumetizida;32059-27-1
08226;sunagrel;85418-85-5
08227;suncilina;22164-94-9
08228;sunepitrona;131881-03-3
08229;supidimida;49785-74-2
